Wall time,Step,Value
1684423821.507404,2970,0.4931640625
1684423833.1336935,2980,0.481689453125
1684423844.613569,2990,0.38427734375
1684423856.1636415,3000,0.1925048828125
1684423867.8908422,3010,0.126220703125
1684423879.4467497,3020,0.1788330078125
1684423891.21235,3030,0.2578125
1684423902.759109,3040,0.2257080078125
1684423914.426882,3050,0.4326171875
1684423926.062912,3060,0.255859375
1684423937.6467419,3070,0.60546875
1684423949.0703306,3080,0.440185546875
1684423960.775256,3090,0.382568359375
1684423972.2821748,3100,0.3388671875
1684423983.8059256,3110,0.495361328125
1684423995.3593037,3120,0.560546875
1684424006.9916475,3130,0.39013671875
1684424018.4362135,3140,0.56787109375
1684424029.9807124,3150,0.331298828125
1684424041.5305893,3160,0.11590576171875
1684424053.1481745,3170,0.6689453125
1684424064.864412,3180,0.9599609375
1684424076.3715522,3190,0.1695556640625
1684424087.8036444,3200,0.4658203125
1684424099.4694307,3210,0.61279296875
1684424111.0058439,3220,0.2108154296875
1684424122.7279134,3230,0.9248046875
1684424134.2203026,3240,0.07470703125
1684424145.8184996,3250,0.6416015625
1684424157.2761745,3260,0.68115234375
1684424168.8016305,3270,0.3642578125
1684424180.3994048,3280,0.52392578125
1684424192.302515,3290,0.4384765625
1684424203.9042199,3300,0.53759765625
1684424215.3677323,3310,0.4638671875
1684424226.7874892,3320,0.379638671875
1684424238.4754868,3330,0.32568359375
1684424250.069798,3340,0.315673828125
1684424261.6161735,3350,0.6806640625
1684424273.151551,3360,0.479736328125
1684424284.6731627,3370,0.40625
1684424296.1993084,3380,0.1351318359375
1684424307.7107587,3390,0.241455078125
1684424319.3015614,3400,0.720703125
1684424330.9213336,3410,0.437744140625
1684424341.79272,3420,0.18408203125
1684424353.2658641,3430,0.6630859375
1684424364.8573735,3440,0.25341796875
1684424376.332289,3450,0.290771484375
1684424387.9925027,3460,0.1849365234375
1684424399.5064645,3470,0.736328125
1684424411.0170033,3480,0.33984375
1684424422.4848049,3490,0.484375
1684424434.0091295,3500,0.07476806640625
1684424445.5783527,3510,0.59130859375
1684424457.1944401,3520,0.29248046875
1684424468.821888,3530,0.66455078125
1684424480.2874532,3540,0.5361328125
1684424491.7570884,3550,0.488525390625
1684424503.3810644,3560,0.353515625
1684424514.9446437,3570,0.1341552734375
1684424526.7262516,3580,0.5263671875
1684424538.367229,3590,0.440673828125
1684424549.9932954,3600,0.455810546875
1684424561.5549366,3610,0.263427734375
1684424573.1991818,3620,0.35546875
1684424584.9472249,3630,0.2437744140625
1684424596.5473275,3640,0.2861328125
1684424608.0773706,3650,0.45703125
1684424619.6254234,3660,0.1351318359375
1684424631.1959834,3670,0.693359375
1684424642.7970927,3680,0.471435546875
1684424654.5423343,3690,0.319091796875
1684424666.2938752,3700,0.5166015625
1684424677.7804163,3710,0.51953125
1684424689.3317792,3720,0.226806640625
1684424700.7953212,3730,0.59521484375
1684424712.3605294,3740,0.1839599609375
1684424723.9173422,3750,0.50048828125
1684424735.6730304,3760,0.5888671875
1684424747.3394632,3770,0.2705078125
1684424758.9256408,3780,0.2237548828125
1684424770.3811955,3790,0.3037109375
1684424781.9467645,3800,0.2364501953125
1684424793.6436503,3810,0.2939453125
1684424805.152635,3820,0.26416015625
1684424816.682248,3830,0.298095703125
1684424828.3261387,3840,0.420166015625
1684424839.8069212,3850,0.440185546875
1684424851.3631449,3860,0.55908203125
1684424863.0550556,3870,0.36767578125
1684424874.532359,3880,0.21533203125
1684424886.1002276,3890,0.08489990234375
1684424897.7255619,3900,0.1861572265625
1684424909.194243,3910,0.072509765625
1684424920.8821008,3920,0.7607421875
1684424932.368232,3930,0.275634765625
1684424944.2004926,3940,0.056304931640625
1684424955.7464993,3950,0.60107421875
1684424967.237545,3960,0.5810546875
1684424978.6917512,3970,0.430419921875
1684424990.227659,3980,0.44384765625
1684425001.9585285,3990,0.365234375
1684425013.552045,4000,0.444580078125
1684425025.4157135,4010,0.046905517578125
1684425037.0239544,4020,0.1317138671875
1684425048.5560148,4030,0.302001953125
1684425060.0391626,4040,0.4072265625
1684425071.7884817,4050,0.4189453125
1684425083.5465329,4060,0.058990478515625
1684425095.1138065,4070,0.270263671875
1684425106.6047478,4080,0.2294921875
1684425118.0867553,4090,0.054840087890625
1684425129.6335006,4100,0.1737060546875
1684425141.2445662,4110,0.203369140625
1684425152.7721403,4120,0.36474609375
1684425164.3859355,4130,0.5126953125
1684425175.9515984,4140,0.1107177734375
1684425187.3907418,4150,0.232666015625
1684425199.275543,4160,0.515625
1684425210.925644,4170,0.1260986328125
1684425222.5567935,4180,0.266845703125
1684425234.102948,4190,0.14013671875
1684425245.5499918,4200,1.3447265625
1684425256.992775,4210,0.4765625
1684425268.7186341,4220,0.428955078125
1684425280.3381555,4230,0.2239990234375
1684425292.0546088,4240,0.271240234375
1684425303.7655098,4250,0.09332275390625
1684425315.7545452,4260,0.1832275390625
1684425327.271505,4270,0.05999755859375
1684425338.8604305,4280,0.435302734375
1684425350.4605055,4290,0.46044921875
1684425362.079616,4300,0.408935546875
1684425373.7183979,4310,0.318359375
1684425385.482001,4320,0.54150390625
1684425397.0230384,4330,0.494873046875
1684425408.4547482,4340,0.626953125
1684425419.9129052,4350,0.2236328125
1684425431.6181812,4360,0.366943359375
1684425443.098416,4370,0.1434326171875
1684425454.8679097,4380,0.0268707275390625
1684425466.3278668,4390,0.065185546875
1684425477.801145,4400,0.5947265625
1684425489.3827965,4410,0.2447509765625
1684425500.9153152,4420,0.1470947265625
1684425512.471255,4430,0.27490234375
1684425524.2705803,4440,0.227294921875
1684425535.768779,4450,0.20263671875
1684425547.318607,4460,0.40087890625
1684425558.9711466,4470,0.1939697265625
1684425570.744224,4480,0.175048828125
1684425582.2855945,4490,0.40625
1684425593.9915226,4500,0.2191162109375
1684425605.4731443,4510,0.265380859375
1684425616.9273477,4520,0.3583984375
1684425628.4257638,4530,0.2259521484375
1684425640.1612184,4540,0.2305908203125
1684425651.8159618,4550,0.39013671875
1684425663.5596578,4560,0.18798828125
1684425675.0729473,4570,0.326416015625
1684425686.5882173,4580,0.3095703125
1684425698.14956,4590,0.35693359375
1684425709.712517,4600,0.289306640625
1684425721.2107468,4610,0.29296875
1684425732.7214131,4620,0.287841796875
1684425744.1998937,4630,0.05316162109375
1684425755.6924348,4640,0.291015625
1684425767.3615875,4650,0.5400390625
1684425778.8855731,4660,0.72265625
1684425790.5106843,4670,0.41552734375
1684425802.018785,4680,0.256103515625
1684425813.578138,4690,0.1629638671875
1684425825.106726,4700,0.07757568359375
1684425836.7531455,4710,0.1134033203125
1684425848.637145,4720,0.4228515625
1684425860.2739577,4730,0.31298828125
1684425871.7805805,4740,0.307373046875
1684425883.2917275,4750,0.272705078125
1684425894.862745,4760,0.129150390625
1684425906.5862331,4770,0.1922607421875
1684425918.1729877,4780,0.404296875
1684425929.8148196,4790,0.27783203125
1684425941.2990582,4800,0.433349609375
1684425952.748107,4810,0.266845703125
1684425964.3437877,4820,0.279541015625
1684425976.0290825,4830,0.499755859375
1684425987.4931552,4840,0.17333984375
1684425998.4186609,4850,0.15771484375
1684426009.97783,4860,0.1343994140625
1684426021.5362842,4870,0.50439453125
1684426033.199896,4880,0.238037109375
1684426044.7227678,4890,0.25390625
1684426056.2390702,4900,0.0975341796875
1684426067.7118106,4910,0.10980224609375
1684426079.2109392,4920,0.5361328125
1684426090.6561759,4930,0.1937255859375
1684426102.253006,4940,0.440185546875
1684426113.9934492,4950,0.41943359375
1684426125.5503192,4960,0.490478515625
1684426137.083318,4970,0.29443359375
1684426148.5167665,4980,0.1529541015625
1684426160.1771388,4990,0.564453125
1684426172.0352697,5000,0.102294921875
1684426183.7012265,5010,0.01477813720703125
1684426195.182492,5020,0.05157470703125
1684426206.8966267,5030,0.1939697265625
1684426218.4041228,5040,0.35302734375
1684426229.9169064,5050,0.35693359375
1684426241.490363,5060,0.25341796875
1684426253.0492654,5070,0.154296875
1684426264.811096,5080,0.250732421875
1684426276.310813,5090,0.400146484375
1684426287.8663542,5100,0.5673828125
1684426299.3592205,5110,0.30615234375
1684426310.8594244,5120,0.310791015625
1684426322.3738134,5130,0.175048828125
1684426333.9303503,5140,0.169921875
1684426345.5847723,5150,0.1973876953125
1684426357.1345174,5160,0.19287109375
1684426368.884839,5170,0.0238037109375
1684426380.3889089,5180,0.33447265625
1684426391.9374335,5190,0.0941162109375
1684426403.748791,5200,0.119873046875
1684426415.2838693,5210,0.2607421875
1684426426.8062942,5220,0.456787109375
1684426438.286737,5230,0.02606201171875
1684426449.9619265,5240,0.045654296875
1684426461.5952532,5250,0.1370849609375
1684426473.419965,5260,0.243408203125
1684426485.2242482,5270,0.2301025390625
1684426496.6542406,5280,0.0609130859375
1684426508.1199207,5290,0.054779052734375
1684426519.5834188,5300,0.308349609375
1684426531.0969095,5310,0.2452392578125
1684426542.647956,5320,0.02581787109375
1684426554.3571184,5330,0.43505859375
1684426565.9131026,5340,0.3359375
1684426577.7789783,5350,0.29931640625
1684426589.3176181,5360,0.10223388671875
1684426601.0321553,5370,0.139404296875
1684426612.5748498,5380,0.1644287109375
1684426624.137254,5390,0.19482421875
1684426635.6288996,5400,0.168212890625
1684426647.2416012,5410,0.15087890625
1684426658.7088814,5420,0.1839599609375
1684426670.1882815,5430,0.285400390625
1684426681.7269566,5440,0.1004638671875
